route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
11-NAN,2046,3583797:4627346:4633987,Lantzville,11977,4633987,0
40-NAN,2048,3582465:4627348:4634242,VIU Express - to Downtown,11937,4634242,0
7-NAN,2048,3582904:4627350:4634141,Downtown,12126,4634141,0
5-NAN,2048,3582746:4627352:5529544,Fairview - to Westwood,14375,5529544,1
97-NAN,2048,3582409:4627356:4633793,Eaglecrest,12114,4633793,1
20-NAN,2048,3583031:4627362:4633912,Sorry... Not in Service,12143,4633912,1
30-NAN,2046,3583677:4627364:4633718,NRGH - to Woodgrove,11946,4633718,1
7-NAN,2181,3584035:4627365:4633696,Cinnabar,12023,4633696,1
20-NAN,2046,3583628:4627370:4634275,A Dover - to Downtown,11995,4634275,0
11-NAN,2048,3582375:4627372:4634126,Lantzville,12047,4634126,1
20-NAN,2181,3584075:4627373:4633972,Hammond Bay - to Woodgrove,11983,4633972,1
15-NAN,2181,3584064:4627377:4634205,Woodgrove - via Parkway,11933,4634205,1
30-NAN,2048,3582633:4627378:5529670,NRGH - to Downtown,12199,5529670,0
88-NAN,2046,3583396:4627381:4634104,Parksville,12070,4634104,0
6-NAN,2048,3582778:4627389:4634433,Harewood - to VIU,14355,4634433,1
50-NAN,2046,3583592:4627392:4634275,Downtown,12053,4634275,0
97-NAN,2048,3582410:4627405:4633793,Eaglecrest,12114,4633793,1
15-NAN,2048,3582796:4627406:4633708,A Woodgrove - via Jingle Pot,11958,4633708,1
7-NAN,2048,3582893:4627416:4633863,Cinnabar,12023,4633863,1
1-NAN,2048,3582580:4627421:4634045,Country Club,11960,4634045,1
7-NAN,2046,3583571:4627429:4633987,Cinnabar,12023,4633987,1
97-NAN,2046,3583377:4627430:4634162,Eaglecrest,12114,4634162,1
30-NAN,2046,3583680:4627442:4633901,NRGH - to Woodgrove,11946,4633901,1
40-NAN,2046,3583739:4627443:4634295,VIU Express - to Downtown,11937,4634295,0
50-NAN,2046,3583601:4627451:4633987,Woodgrove,11936,4633987,1
40-NAN,2046,3583742:4627456:4633898,VIU Express - to Downtown,11937,4633898,0
30-NAN,2048,3582610:4627461:4633863,NRGH - to Woodgrove,11946,4633863,1
8-NAN,2046,3583792:4627465:4633939,Cedar - to VIU,12039,4633939,0
30-NAN,2046,3583440:4627476:4633688,NRGH - to Woodgrove,11946,4633688,1
7-NAN,2046,3583568:4627485:4633987,Cinnabar,12023,4633987,1
1-NAN,2046,3583524:4627488:5529602,Country Club,11960,5529602,1
40-NAN,2050,3582729:4627491:4633923,VIU Express - to Woodgrove,12107,4633923,1
40-NAN,2048,3582642:4627497:4634368,VIU Express - to Downtown,11937,4634368,0
1-NAN,2181,3584132:4627502:4634384,Country Club,11960,4634384,1
6-NAN,2050,3582783:4627504:4634094,Harewood - to Downtown,14336,4634094,0
78-NAN,2048,3582883:4627510:4634043,Cassidy & Nanaimo Airport,12122,4634043,1
1-NAN,2048,3582573:4627514:4633829,Country Club,11960,4633829,1
88-NAN,2048,3582462:4627516:4634115,Parksville,12070,4634115,0
91-NAN,2048,3582416:4627517:4634262,Intercity - to Qualicum Beach,12136,4634262,1
1-NAN,2046,3583506:4627521:5529845,Country Club,11960,5529845,1
11-NAN,2048,3582925:4627522:4634376,Lantzville,12094,4634376,0
6-NAN,2181,3584029:4627528:4633882,Harewood - to Downtown,14336,4633882,0
5-NAN,2046,3583460:4627530:4634189,Fairview - to Westwood,14375,4634189,1
1-NAN,2046,3583512:4627540:4634125,Country Club,11960,4634125,1
20-NAN,2048,3583043:4627548:4633818,A Dover - to Woodgrove,11962,4633818,1
40-NAN,2048,3582720:4627550:4634141,VIU Express - to Woodgrove,12107,4634141,1
70-NAN,2046,3583807:4627553:5529709,NCX - to Duncan,12069,5529709,1
50-NAN,2046,3583600:4627558:4634360,Woodgrove,11936,4634360,1
7-NAN,2181,3584027:4627566:4633993,Cinnabar,12023,4633993,1
40-NAN,2046,3583734:4627568:4633913,VIU Express - to Downtown,11937,4633913,0
40-NAN,2048,3582467:4627570:4633848,VIU Express - to Downtown,11937,4633848,0
40-NAN,2048,3582699:4627572:4633752,VIU Express - to Woodgrove,12107,4633752,1
30-NAN,2181,3584188:4627578:4634374,NRGH - to Woodgrove,11946,4634374,1
20-NAN,2046,3583621:4627579:4633898,Hammond Bay - to Woodgrove,11983,4633898,1
6-NAN,2046,3583482:4627586:4634325,Harewood - to VIU,14355,4634325,1
1-NAN,2048,3582568:4627590:4634018,Country Club,11960,4634018,1
6-NAN,2046,3583477:4627607:4634125,Harewood - to VIU,14355,4634125,1
1-NAN,2046,3583517:4627617:4634392,Country Club,11960,4634392,1
30-NAN,2046,3583710:4627618:4633898,NRGH - to Downtown,12199,4633898,0
6-NAN,2048,3582758:4627622:4634317,Harewood - to VIU,14355,4634317,1
50-NAN,2046,3583546:4627628:5529595,Woodgrove,11936,5529595,1
91-NAN,2048,3582386:4627632:4633887,Intercity - to Qualicum Beach,11988,4633887,1
11-NAN,2048,3582987:4627642:4634131,Lantzville,12094,4634131,0
30-NAN,2048,3582628:4627643:4633948,NRGH - to Downtown,12199,4633948,0
15-NAN,2046,3583513:4627656:4633718,Woodgrove - via Parkway,11933,4633718,1
15-NAN,2046,3583539:4627670:4633987,VIU - via Parkway,12226,4633987,0
15-NAN,2048,3582772:4627674:5030100,Woodgrove - via Parkway,11933,5030100,1
7-NAN,2048,3582919:4627677:4633869,Cinnabar,12023,4633869,1
50-NAN,2048,3582811:4627679:4634391,Downtown,12053,4634391,0
1-NAN,2048,3582578:4627685:4634141,Downtown,12142,4634141,0
91-NAN,2181,3584012:4627687:4634411,Intercity - to Qualicum Beach,12136,4634411,1
40-NAN,2048,3582695:4627689:4634121,VIU Express - to Woodgrove,12107,4634121,1
1-NAN,2048,3582533:4627690:5030247,Country Club,11960,5030247,1
6-NAN,2048,3582759:4627694:4633734,Harewood - to VIU,14355,4633734,1
30-NAN,2046,3583434:4627697:4634287,NRGH - to Downtown,12199,4634287,0
88-NAN,2048,3582464:4627698:4634115,Parksville,12070,4634115,0
5-NAN,2048,3582952:4627706:4634405,Fairview - to Downtown,12354,4634405,0
15-NAN,2181,3584061:4627708:4633882,Woodgrove - via Parkway,11933,4633882,1
7-NAN,2181,3584038:4627715:4634205,Downtown,12126,4634205,0
40-NAN,2046,3583743:4627724:4633901,VIU Express - to Downtown,11937,4633901,0
50-NAN,2048,3582832:4627736:4633734,Woodgrove,11936,4633734,1
40-NAN,2046,3583738:4627741:4634325,VIU Express - to Downtown,11937,4634325,0
11-NAN,2181,3584020:4627749:4633993,Lantzville,12047,4633993,1
50-NAN,2046,3583585:4627750:4633901,Downtown,12053,4633901,0
7-NAN,2048,3582885:4627759:4633736,Downtown,12126,4633736,0
78-NAN,2048,3582878:4627762:4633851,Downtown,12058,4633851,0
98-NAN,2048,3582432:4627763:4633793,Qualicum Beach,12090,4633793,1
1-NAN,2048,3582561:4627768:4633948,Country Club,11960,4633948,1
20-NAN,2048,3583019:4627773:4633820,Hammond Bay - to Woodgrove,11983,4633820,1
7-NAN,2046,3583551:4627777:4633714,Downtown,12126,4633714,0
6-NAN,2046,3583491:4627778:4633718,Harewood - to VIU,14355,4633718,1
88-NAN,2046,3583412:4627779:4634104,Parksville,12070,4634104,0
11-NAN,2046,3583760:4627782:4633999,Lantzville,12047,4633999,1
7-NAN,2048,3582918:4627796:4633891,Cinnabar,12023,4633891,1
91-NAN,2048,3582994:4627803:5529611,Intercity - to Woodgrove,11940,5529611,0
40-NAN,2181,3584189:4627816:4634190,VIU Express - to Woodgrove,12107,4634190,1
40-NAN,2048,3582635:4627820:4633845,VIU Express - to Downtown,11937,4633845,0
30-NAN,2048,3582630:4627826:4634103,NRGH - to Downtown,12199,4634103,0
5-NAN,2046,3583518:4627830:4634392,Fairview - to Westwood,14375,4634392,1
15-NAN,2046,3583538:4627834:4634388,VIU - via Parkway,12226,4634388,0
20-NAN,2046,3583464:4627837:4633991,A Dover - to Downtown,11995,4633991,0
6-NAN,2048,3582504:4627841:4633970,Harewood - to VIU,14355,4633970,1
50-NAN,2048,3582816:4627854:4633869,Downtown,12053,4633869,0
6-NAN,2046,3583493:4627860:5529971,Harewood - to Downtown,14336,5529971,0
8-NAN,2181,3584263:4627867:4633984,Cedar - to VIU,12039,4633984,0
20-NAN,2048,3583018:4627870:5030032,A Dover - to Woodgrove,11962,5030032,1
11-NAN,2181,3584021:4627874:4634011,Lantzville,12047,4634011,1
40-NAN,2048,3582637:4627877:4634348,VIU Express - to Downtown,11937,4634348,0
8-NAN,2046,3583768:4627884:4633939,VIU - to Cedar,12051,4633939,1
50-NAN,2048,3582817:4627886:4634164,Woodgrove,11936,4634164,1
5-NAN,2181,3584146:4627891:4633984,Fairview - to Downtown,12354,4633984,0
92-NAN,2050,3582398:4627895:4634153,Sorry... Not in Service,12062,4634153,0
50-NAN,2046,3583754:4627896:4634333,Woodgrove,11936,4634333,1
11-NAN,2181,3584237:4627908:4633977,Lantzville,11977,4633977,0
88-NAN,2046,3583404:4627912:4634104,Parksville,12070,4634104,0
6-NAN,2048,3582535:4627914:4633734,Harewood - to Downtown,14336,4633734,0
8-NAN,2046,3583786:4627916:4634416,Cedar - to VIU,12039,4634416,0
40-NAN,2048,3582689:4627918:4634126,VIU Express - to Downtown,11937,4634126,0
6-NAN,2181,3584213:4627920:4633771,Harewood - to Downtown,14336,4633771,0
30-NAN,2181,3584210:4627928:4634381,NRGH - to Downtown,12199,4634381,0
40-NAN,2048,3582647:4627929:4634354,VIU Express - to Downtown,11937,4634354,0
40-NAN,2048,3582712:4627937:4634018,VIU Express - to Woodgrove,12107,4634018,1
5-NAN,2181,3584212:4627942:5529825,Fairview - to Westwood,14375,5529825,1
50-NAN,2048,3582835:4627943:4634070,Woodgrove,11936,4634070,1
15-NAN,2046,3583544:4627944:5529877,VIU - via Parkway,12226,5529877,0
30-NAN,2048,3582590:4627945:4634131,NRGH - to Downtown,12199,4634131,0
40-NAN,2048,3582649:4627948:4633763,VIU Express - to Downtown,11937,4633763,0
1-NAN,2181,3584171:4627960:4634384,Downtown,12142,4634384,0
8-NAN,2046,3583803:4627962:4634416,VIU - to Cedar,12091,4634416,1
98-NAN,2046,3583387:4627968:4634162,Qualicum Beach,12090,4634162,1
1-NAN,2048,3582555:4627971:4634168,Country Club,11960,4634168,1
88-NAN,2048,3582425:4627973:4634115,Wembley Mall,11966,4634115,1
1-NAN,2048,3582572:4627975:5529723,Country Club,11960,5529723,1
8-NAN,2048,3582847:4627984:4634348,VIU - to Cedar,12051,4634348,1
5-NAN,2048,3582500:4627987:4634164,Fairview - to Downtown,12354,4634164,0
30-NAN,2046,3583685:4627988:4633714,NRGH - to Woodgrove,11946,4633714,1
11-NAN,2046,3583762:4627991:5529971,Lantzville,12047,5529971,1
