route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
2-KAM,2384,2232143:4500927:5318565,Downtown Via Parkcrest,13832,5318565,0
6-KAM,2386,2233171:4500932:4503764,Downtown Loop,13897,4503764,1
7-KAM,2387,2233903:4500947:5318486,Downtown Via Battle,13949,5318486,0
3-KAM,2384,2232586:4500968:4504314,Westsyde To Harrington,14015,4504314,1
16-KAM,2386,2233282:4500996:4503024,Downtown,13997,4503024,0
9-KAM,2384,2232468:4501032:5024947,Gleneagles Via TRU,13803,5024947,1
5-KAM,2386,2233155:4501037:4504692,TRU Via Versatile,14031,4504692,0
17-KAM,2387,2233780:4501059:5318490,Downtown Via Dallas,14045,5318490,0
9-KAM,2386,2233438:4501075:4504415,Gleneagles Via TRU,13803,4504415,1
7-KAM,2386,2233187:4501109:5318377,Downtown Via Bestwick,13974,5318377,0
2-KAM,2387,2233656:4501123:5024478,Brocklehurst Via Parkcrest,14018,5024478,1
3-KAM,2386,2233082:4501156:4503808,Westsyde To Downtown,13860,4503808,0
9-KAM,2387,2233825:4501164:5318396,Gleneagles Via TRU,13803,5318396,1
6-KAM,2386,2233163:4501210:4504403,Downtown Loop,13806,4504403,1
3-KAM,2384,2231981:4501219:5318366,Westsyde To Downtown,13860,5318366,0
1-KAM,2386,2233513:4501233:5318536,Brocklehurst Via Tranquille,14038,5318536,1
3-KAM,2384,2232606:4501234:5318331,Westsyde To Harrington,14015,5318331,1
5-KAM,2387,2233897:4501251:4504622,Pineview Via Hillside,13797,4504622,1
1-KAM,2386,2233535:4501254:4503252,Brocklehurst Via Tranquille,14038,4503252,1
6-KAM,2384,2232349:4501268:5024011,Downtown Loop,13897,5024011,1
10-KAM,2384,2232116:4501273:5318372,North Shore Exchange Express,13828,5318372,0
9-KAM,2386,2233440:4501287:4503764,Gleneagles Via TRU,13803,4503764,1
17-KAM,2386,2233312:4501288:4503390,Downtown Via Dallas,13831,4503390,0
3-KAM,2384,2231968:4501350:5318332,Westsyde To Downtown,13860,5318332,0
3-KAM,2384,2231970:4501353:5318579,Westsyde To Downtown,13860,5318579,0
5-KAM,2384,2231928:4501398:5024251,TRU Via Versatile,14031,5024251,0
9-KAM,2384,2232145:4501433:4504308,Gleneagles Via TRU,13803,4504308,1
1-KAM,2387,2233849:4501454:4503948,Brocklehurst Via Tranquille,14038,4503948,1
3-KAM,2384,2232149:4501458:5318432,Westsyde To Downtown,13860,5318432,0
3-KAM,2386,2233076:4501477:4503254,Westsyde To Harrington,14015,4503254,1
7-KAM,2384,2232671:4501480:5318414,Downtown Via Battle,13949,5318414,0
6-KAM,2384,2232002:4501491:5318366,Downtown Loop,13806,5318366,1
16-KAM,2384,2232367:4501494:5024156,Juniper Ridge,13994,5024156,1
5-KAM,2386,2233151:4501500:4503982,TRU Via Hillside,13985,4503982,0
17-KAM,2387,2233942:4501514:5318339,To Kokanee Way Via Dallas,13987,5318339,1
7-KAM,2386,2233405:4501544:5318524,Downtown Via Battle,13949,5318524,0
2-KAM,2384,2232142:4501553:5318432,Downtown Via Parkcrest,13832,5318432,0
14-KAM,2386,2233322:4501568:4504403,Batchelor Hgts To Saddleback,14016,4504403,1
9-KAM,2384,2232219:4501587:5318532,Downtown Via TRU,13990,5318532,0
72-KAM,2384,2231878:4501607:5025280,South Kamloops,13801,5025280,0
3-KAM,2386,2233091:4501614:4503799,Westsyde To Downtown,13860,4503799,0
3-KAM,2384,2231986:4501644:5024606,Westsyde To Harrington,14015,5024606,1
5-KAM,2386,2233156:4501681:4504692,TRU Via Hillside,13985,4504692,0
76-KAM,2384,2231892:4501686:4503192,Lansdowne,13890,4503192,1
1-KAM,2387,2233642:4501758:5318568,Downtown Via Tranquille,13800,5318568,0
9-KAM,2386,2233203:4501774:5025034,Gleneagles Via TRU,13803,5025034,1
5-KAM,2384,2232281:4501777:4504710,Pineview Via Hillside,13797,4504710,1
3-KAM,2386,2233089:4501783:4503808,Westsyde To Downtown,13860,4503808,0
13-KAM,2386,2233261:4501830:4504717,Yellowhead To North Shore Exch,14001,4504717,0
4-KAM,2386,2233354:4501839:5318563,TRU Via Notre Dame,13808,5318563,0
1-KAM,2387,2233959:4501847:5025424,Downtown Via Tranquille,13800,5025424,0
13-KAM,2386,2233439:4501850:4504717,Yellowhead To Heffley Creek,13901,4504717,1
3-KAM,2386,2233064:4501870:4503497,Westsyde To Harrington,14015,4503497,1
3-KAM,2386,2233096:4501921:4503799,Westsyde To Downtown,13860,4503799,0
5-KAM,2384,2232542:4501947:5024341,Pineview Via Hillside,13797,5024341,1
1-KAM,2386,2233001:4501969:5318536,Downtown Via Tranquille,13800,5318536,0
7-KAM,2386,2233181:4501981:5318466,Downtown Via Bestwick,13974,5318466,0
1-KAM,2386,2232978:4502003:5025034,Brocklehurst Via Tranquille,14038,5025034,1
