route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
5-SOS,2048,2285697:3912840:3918282,Main North - Downtown,5532,3918282,0
2-SOS,2048,2285781:3912851:3918236,Penticton Ave - Downtown,4076,3918236,0
4-SOS,2048,2285838:3912856:3918140,Duncan East - Downtown,4063,3918140,0
5-SOS,2097,2285941:3912915:3918307,Main South - Peachtree,4079,3918307,1
2-SOS,2048,2285812:3912969:3918236,Westside - To Cherry Lane,4060,3918236,1
5-SOS,2097,2285937:3913028:3918295,Main North - Downtown,5532,3918295,0
5-SOS,2048,2285691:3913058:3918282,Main North - Downtown,5532,3918282,0
1-SOS,2048,2285816:3913067:4901447,Wiltse - Peachtree,2977,4901447,1
2-SOS,2048,2285803:3913092:3918236,Westside - To Cherry Lane,4060,3918236,1
3-SOS,2097,2286062:3913179:4901277,Skaha Lake - Peachtree,9165,4901277,1
20-SOS,2048,2285646:3913221:3918453,Okanagan Falls,4056,3918453,1
5-SOS,2048,2285744:3913239:3918184,Main South - Peachtree,5482,3918184,0
21-SOS,2048,2285703:3913306:3918292,OK Falls Local,4091,3918292,0
5-SOS,2048,2285670:3913383:3918184,Main South - Peachtree,4093,3918184,1
5-SOS,2048,2285676:3913469:3918184,Main South - Peachtree,4093,3918184,1
5-SOS,2097,2285932:3913472:3918295,Main North - Downtown,5532,3918295,0
30-SOS,2048,2285715:3913495:4901453,Summerland,2982,4901453,0
3-SOS,2097,2286035:3913510:4901277,Skaha Lake - Peachtree,4072,4901277,1
2-SOS,2048,2285791:3913542:3918236,Westside - To Cherry Lane,4060,3918236,1
2-SOS,2097,2286087:3913579:3918212,Downtown Only,3051,3918212,1
20-SOS,2048,2285706:3913618:3918317,Okanagan Falls - Heritage Hills,4078,3918317,1
2-SOS,2097,2286036:3913629:3918212,Penticton Ave - Downtown,4076,3918212,0
3-SOS,2048,2285790:3913694:4901373,Skaha Lake - Peachtree,9165,4901373,1
5-SOS,2048,2285692:3913725:3918184,Main North - Downtown,5532,3918184,0
5-SOS,2097,2285936:3913734:3918295,Main North - Downtown,5532,3918295,0
2-SOS,2097,2286047:3913738:3918212,Penticton Ave - Downtown,4076,3918212,0
2-SOS,2097,2286028:3913747:3918212,Penticton Ave - Downtown,4076,3918212,0
15-SOS,2097,2286121:3913751:4901430,Night Route - Peachtree,4046,4901430,0
2-SOS,2097,2286044:3913759:3918212,Penticton Ave - Downtown,4076,3918212,0
5-SOS,2097,2285968:3913831:3918307,Main North - Downtown,5532,3918307,0
4-SOS,2048,2285840:3913875:3918140,Duncan East - Downtown,4063,3918140,0
20-SOS,2048,2285644:3913894:3918453,Penticton - Heritage Hills,4082,3918453,0
1-SOS,2048,2285753:3914027:4901447,Wiltse - Reverse Loop - To Peachtree,2975,4901447,1
5-SOS,2097,2285940:3914073:3918295,Main North - Downtown,5532,3918295,0
5-SOS,2048,2285652:3914166:3918282,Main South - Peachtree,4093,3918282,1
2-SOS,2097,2286039:3914226:3918212,Westside - To Cherry Lane,4060,3918212,1
4-SOS,2048,2285839:3914274:3918140,Duncan East - Downtown,4063,3918140,0
4-SOS,2097,2286119:3914280:3918321,Westside - To Cherry Lane,4039,3918321,1
3-SOS,2097,2286093:3914321:3918212,Downtown Only,9215,3918212,1
5-SOS,2097,2285952:3914357:3918307,Main South - Peachtree,4093,3918307,1
4-SOS,2048,2285828:3914385:3918140,Westside - To Cherry Lane,4039,3918140,1
4-SOS,2097,2286095:3914393:3918212,Duncan East - Downtown,3034,3918212,0
5-SOS,2097,2285921:3914396:3918295,Main South - Peachtree,4079,3918295,1
1-SOS,2097,2286088:3914434:4901461,Wiltse - Peachtree,2977,4901461,1
5-SOS,2097,2285926:3914449:3918295,Main South - Peachtree,4093,3918295,1
5-SOS,2097,2285950:3914469:3918307,Main South - Peachtree,4093,3918307,1
1-SOS,2097,2286050:3914509:4901461,Wiltse - Peachtree,2977,4901461,1
5-SOS,2048,2285681:3914549:3918184,Main North - Downtown,5532,3918184,0
2-SOS,2097,2286031:3914601:3918212,Penticton Ave - Downtown,4076,3918212,0
1-SOS,2048,2285788:3914665:4901447,Wiltse - Peachtree,2977,4901447,1
11-SOS,2048,2285735:3914667:3918206,West Bench,4043,3918206,1
5-SOS,2048,2285668:3914742:3918282,Main North - Downtown,5532,3918282,0
4-SOS,2048,2285843:3914745:3918140,Westside - To Cherry Lane,4039,3918140,1
30-SOS,2048,2285711:3914748:4901444,Summerland,2982,4901444,0
4-SOS,2048,2285825:3914801:3918140,Duncan East - Downtown,4063,3918140,0
3-SOS,2097,2286085:3914820:4901277,Skaha Lake - Peachtree,9165,4901277,1
5-SOS,2097,2285927:3914838:3918295,Main South - Peachtree,4093,3918295,1
5-SOS,2097,2285945:3914875:3918307,Main South - Peachtree,4093,3918307,1
4-SOS,2048,2285830:3914918:3918140,Westside - To Cherry Lane,4039,3918140,1
5-SOS,2097,2285967:3914934:3918307,Main South - Peachtree,4093,3918307,1
15-SOS,2048,2285824:3914935:3918236,Night Route - Cherry Lane,2919,3918236,0
3-SOS,2048,2285796:3914959:4901373,Skaha Lake - Peachtree,9165,4901373,1
2-SOS,2097,2286057:3915001:3918212,Westside - To Cherry Lane,4060,3918212,1
