trip_id,arrival_time,time_diff,minutes_past_midnight,period
13717169,18:45:58,6.0,1125.9666666666667,Late Afternoon
13717190,18:53:28,7.5,1133.4666666666667,Late Afternoon
13717159,18:58:28,5.0,1138.4666666666667,Late Afternoon
13717174,19:09:28,11.0,1149.4666666666667,Late Afternoon
13717233,19:18:34,9.1,1158.5666666666666,Late Afternoon
13717216,19:28:34,10.0,1168.5666666666666,Late Afternoon
13717189,19:43:34,15.0,1183.5666666666666,Night
13717177,19:50:40,7.1,1190.6666666666667,Night
13717185,20:10:40,20.0,1210.6666666666667,Night
13717147,20:26:40,16.0,1226.6666666666667,Night
13717278,20:40:40,14.0,1240.6666666666667,Night
13717199,20:54:46,14.1,1254.7666666666669,Night
13717176,21:09:46,15.0,1269.7666666666669,Night
13717179,21:24:46,15.0,1284.7666666666669,Night
13717237,21:39:46,15.0,1299.7666666666669,Night
13717198,21:53:51,14.083333333333334,1313.85,Night
13717221,22:08:51,15.0,1328.85,Night
13717232,22:23:51,15.0,1343.85,Night
13717220,22:38:51,15.0,1358.85,Night
13717156,22:51:57,13.1,1371.95,Night
13717197,23:06:57,15.0,1386.95,Night
13717219,23:21:57,15.0,1401.95,Night
13717155,23:35:57,14.0,1415.95,Night
13717218,23:48:04,12.116666666666667,1428.0666666666666,Night
13717184,24:03:04,15.0,3.066666666666667,Overnight
13717236,24:18:04,15.0,18.066666666666663,Overnight
13717154,24:33:04,15.0,33.06666666666667,Overnight
13717152,24:47:09,14.083333333333334,47.15,Overnight
13717151,25:07:09,20.0,67.15,Overnight
13717153,25:27:09,20.0,87.15,Overnight
13717181,25:46:09,19.0,106.15,Overnight
13717180,26:10:09,24.0,130.15,Overnight
