,trip_id,arrival_time,sunday,time_diff,period
0,13678409, 7:38:35,1,0.0,Morning
1,13678412, 8:42:35,1,64.0,Morning
2,13678430, 9:43:27,1,60.86666666666667,Morning
3,13678427,10:14:27,1,31.0,Morning
4,13678404,10:45:27,1,31.0,Morning
5,13678433,11:15:27,1,30.0,Afternoon
6,13678423,11:45:27,1,30.0,Afternoon
7,13678435,12:15:27,1,30.0,Afternoon
8,13678413,12:43:21,1,27.9,Afternoon
9,13678417,13:17:21,1,34.0,Afternoon
10,13678414,13:47:21,1,30.0,Afternoon
11,13678420,14:11:21,1,24.0,Afternoon
12,13678424,14:41:21,1,30.0,Afternoon
13,13678432,15:12:21,1,31.0,Afternoon
14,13678428,15:42:21,1,30.0,Afternoon
15,13678419,16:12:21,1,30.0,Evening
16,13678415,16:43:12,1,30.85,Evening
17,13678407,17:14:12,1,31.0,Evening
18,13678425,17:49:12,1,35.0,Evening
19,13678410,18:19:12,1,30.0,Evening
20,13678434,18:49:12,1,30.0,Evening
21,13678405,19:19:12,1,30.0,Evening
22,13678426,19:49:12,1,30.0,Evening
23,13678431,20:17:21,1,28.15,Evening
24,13678418,20:46:21,1,29.0,Evening
25,13678416,21:16:21,1,30.0,Night
26,13678429,21:44:27,1,28.1,Night
27,13678406,22:12:27,1,28.0,Night
28,13678422,22:43:27,1,31.0,Night
29,13678421,23:13:27,1,30.0,Night
30,13678436,23:43:27,1,30.0,Night
31,13678411,24:18:27,1,35.0,Night
32,13678408,24:55:44,1,37.28333333333333,Night
