trip_id,origin_scheduled_time,destination_scheduled_time
13678840,24:35:00,24:47:00
13678841, 9:55:00,10:08:00
13678842,15:55:00,16:10:00
13678843,22:35:00,22:48:00
13678844,13:35:00,13:48:00
13678845,21:05:00,21:18:00
13678846, 8:56:00, 9:09:00
13678847, 8:36:00, 8:49:00
13678848, 7:54:00, 8:07:00
13678849,15:35:00,15:50:00
13678850,16:35:00,16:48:00
13678851,23:05:00,23:18:00
13678852,23:35:00,23:48:00
13678853, 8:14:00, 8:27:00
13678854, 9:16:00, 9:29:00
13678855,10:15:00,10:28:00
13678856,11:15:00,11:28:00
13678857,12:15:00,12:28:00
13678858,13:15:00,13:28:00
13678859,14:15:00,14:28:00
13678860,15:15:00,15:28:00
13678861,16:14:00,16:29:00
13678862,17:15:00,17:28:00
13678863,18:15:00,18:28:00
13678864,19:15:00,19:29:00
13678865,20:16:00,20:29:00
13719923,19:08:00,19:22:00
