,trip_id,arrival_time,time_diff,cluster,minutes_past_midnight
0,13678214, 6:06:44,0.0,2,366.73333333333335
1,13678244, 6:26:44,20.0,2,386.73333333333335
2,13678245, 6:48:35,21.85,2,408.5833333333333
3,13678216, 7:06:35,18.0,2,426.5833333333333
4,13678228, 7:20:35,14.0,2,440.5833333333333
5,13678230, 7:32:21,11.766666666666667,2,452.35
6,13678225, 7:45:06,12.75,2,465.1
7,13678248, 8:03:06,18.0,2,483.1
8,13678224, 8:18:06,15.0,2,498.1
9,13678206, 8:34:06,16.0,2,514.1
10,13678231, 8:49:06,15.0,2,529.1
11,13678241, 9:05:12,16.1,2,545.2
12,13678195, 9:20:12,15.0,2,560.2
13,13678236, 9:33:12,13.0,2,573.2
14,13678198, 9:49:12,16.0,2,589.2
15,13678204,10:02:12,13.0,2,602.2
16,13678218,10:17:12,15.0,2,617.2
17,13678229,10:31:12,14.0,0,631.2
18,13678193,10:45:12,14.0,0,645.2
19,13678239,10:58:12,13.0,0,658.2
20,13678235,11:13:12,15.0,0,673.2
21,13678213,11:28:12,15.0,0,688.2
22,13678219,11:43:12,15.0,0,703.2
23,13678227,11:58:12,15.0,0,718.2
24,13678250,12:14:57,16.75,0,734.95
25,13678191,12:29:57,15.0,0,749.95
26,13678220,12:39:57,10.0,0,759.95
27,13678207,13:00:57,21.0,0,780.95
28,13678233,13:15:57,15.0,0,795.95
29,13678205,13:30:57,15.0,0,810.95
30,13678221,13:45:57,15.0,0,825.95
31,13678208,14:01:57,16.0,0,841.95
32,13678209,14:17:57,16.0,0,857.95
33,13678190,14:32:57,15.0,0,872.95
34,13678222,14:48:57,16.0,3,888.95
35,13678211,15:03:57,15.0,3,903.95
36,13678223,15:15:57,12.0,3,915.95
37,13678232,15:28:57,13.0,3,928.95
38,13678243,15:44:57,16.0,3,944.95
39,13678238,16:00:57,16.0,3,960.95
40,13678242,16:17:57,17.0,3,977.95
41,13678251,16:33:57,16.0,3,993.95
42,13678215,17:07:57,34.0,3,1027.95
43,13678189,17:21:57,14.0,3,1041.95
44,13678217,17:36:57,15.0,3,1056.95
45,13678200,17:51:06,14.15,3,1071.1
46,13678226,18:06:06,15.0,3,1086.1
47,13678199,18:21:06,15.0,3,1101.1
48,13678210,18:34:06,13.0,3,1114.1
49,13678202,18:48:06,14.0,3,1128.1
50,13678237,19:03:06,15.0,3,1143.1
51,13678201,19:20:06,17.0,1,1160.1
52,13678194,19:51:06,31.0,1,1191.1
53,13678203,20:22:06,31.0,1,1222.1
54,13678197,20:51:06,29.0,1,1251.1
55,13678240,21:16:06,25.0,1,1276.1
56,13678212,21:45:21,29.25,1,1305.35
57,13678247,22:15:21,30.0,1,1335.35
58,13678192,22:43:21,28.0,1,1363.35
59,13678234,23:17:21,34.0,1,1397.35
60,13678196,23:49:35,32.233333333333334,1,1429.5833333333333
61,13678246,24:18:35,29.0,4,18.583333333333332
62,13678249,24:56:35,38.0,4,56.583333333333336
