,trip_id,arrival_time,saturday,time_diff,period
0,13678705, 7:07:13,1,0.0,Morning
1,13678712, 7:22:13,1,15.0,Morning
2,13678713, 7:42:13,1,20.0,Morning
3,13678714, 8:03:13,1,21.0,Morning
4,13678715, 8:22:21,1,19.133333333333333,Morning
5,13678716, 8:42:21,1,20.0,Morning
6,13678717, 9:02:21,1,20.0,Morning
7,13678718, 9:22:21,1,20.0,Morning
8,13678719, 9:42:21,1,20.0,Morning
9,13678720,10:03:21,1,21.0,Morning
10,13678721,10:23:21,1,20.0,Morning
11,13678722,10:43:21,1,20.0,Morning
12,13678723,11:03:13,1,19.866666666666667,Afternoon
13,13678724,11:23:13,1,20.0,Afternoon
14,13678725,11:47:13,1,24.0,Afternoon
15,13678726,12:04:13,1,17.0,Afternoon
16,13678727,12:21:13,1,17.0,Afternoon
17,13678747,12:39:04,1,17.85,Afternoon
18,13678728,12:54:04,1,15.0,Afternoon
19,13678729,13:09:04,1,15.0,Afternoon
20,13678730,13:24:04,1,15.0,Afternoon
21,13678748,13:39:04,1,15.0,Afternoon
22,13678731,13:54:04,1,15.0,Afternoon
23,13678732,14:09:04,1,15.0,Afternoon
24,13678733,14:24:04,1,15.0,Afternoon
25,13678749,14:38:13,1,14.15,Afternoon
26,13678734,14:53:13,1,15.0,Afternoon
27,13678735,15:09:04,1,15.85,Afternoon
28,13678736,15:24:04,1,15.0,Afternoon
29,13678750,15:39:04,1,15.0,Afternoon
30,13678737,15:54:04,1,15.0,Afternoon
31,13678738,16:08:04,1,14.0,Evening
32,13678739,16:23:04,1,15.0,Evening
33,13678751,16:38:04,1,15.0,Evening
34,13678740,16:54:04,1,16.0,Evening
35,13678741,17:09:04,1,15.0,Evening
36,13678742,17:24:04,1,15.0,Evening
37,13678752,17:39:04,1,15.0,Evening
38,13678743,17:53:04,1,14.0,Evening
39,13678757,18:09:04,1,16.0,Evening
40,13678756,18:27:04,1,18.0,Evening
41,13678758,18:47:04,1,20.0,Evening
42,13678759,19:07:04,1,20.0,Evening
43,13678760,19:27:04,1,20.0,Evening
44,13678761,19:47:13,1,20.15,Evening
45,13678753,20:07:13,1,20.0,Evening
46,13678754,20:27:13,1,20.0,Evening
47,13678755,20:47:13,1,20.0,Evening
48,13678744,21:07:13,1,20.0,Night
49,13678745,21:26:13,1,19.0,Night
50,13678746,21:47:13,1,21.0,Night
51,13678711,22:06:13,1,19.0,Night
52,13678710,22:24:13,1,18.0,Night
53,13678709,22:56:13,1,32.0,Night
54,13678708,23:33:29,1,37.266666666666666,Night
55,13678707,24:10:29,1,37.0,Night
56,13678706,24:47:29,1,37.0,Night
